,Date,Language,Ratings,Index,Year,Rank
5403,2022-02-01,Ruby,0.8099999999999999,PYPL,2022,17.0
5415,2023-02-01,Ruby,1.0,PYPL,2023,16.0
5427,2024-02-01,Ruby,0.98,PYPL,2024,16.0
5507,2011-02-01,Rust,0.09,PYPL,2011,22.0
5519,2012-02-01,Rust,0.06999999999999999,PYPL,2012,24.0
5531,2013-02-01,Rust,0.06,PYPL,2013,25.0
5543,2014-02-01,Rust,0.16,PYPL,2014,23.0
5555,2015-02-01,Rust,0.15,PYPL,2015,25.0
5567,2016-02-01,Rust,0.25,PYPL,2016,23.0
5579,2017-02-01,Rust,0.3,PYPL,2017,25.0
5591,2018-02-01,Rust,0.32,PYPL,2018,21.0
5603,2019-02-01,Rust,0.43,PYPL,2019,20.0
5615,2020-02-01,Rust,0.72,PYPL,2020,19.0
5627,2021-02-01,Rust,0.9199999999999999,PYPL,2021,16.0
5639,2022-02-01,Rust,1.02,PYPL,2022,15.0
5651,2023-02-01,Rust,1.96,PYPL,2023,11.0
5663,2024-02-01,Rust,2.23,PYPL,2024,11.0
5743,2011-02-01,Scala,0.29,PYPL,2011,20.0
5755,2012-02-01,Scala,0.38,PYPL,2012,18.0
5767,2013-02-01,Scala,0.42,PYPL,2013,18.0
5779,2014-02-01,Scala,0.61,PYPL,2014,16.0
5791,2015-02-01,Scala,0.7100000000000001,PYPL,2015,16.0
5803,2016-02-01,Scala,0.96,PYPL,2016,15.0
5815,2017-02-01,Scala,1.0999999999999999,PYPL,2017,14.0
5827,2018-02-01,Scala,1.31,PYPL,2018,13.0
5839,2019-02-01,Scala,1.13,PYPL,2019,14.0
5851,2020-02-01,Scala,1.11,PYPL,2020,17.0
5863,2021-02-01,Scala,0.76,PYPL,2021,17.0
5875,2022-02-01,Scala,0.62,PYPL,2022,19.0
5887,2023-02-01,Scala,0.6,PYPL,2023,20.0
5899,2024-02-01,Scala,0.59,PYPL,2024,20.0
5979,2011-02-01,Swift,0.0,PYPL,2011,25.0
5991,2012-02-01,Swift,0.0,PYPL,2012,27.0
6003,2013-02-01,Swift,0.0,PYPL,2013,28.0
6015,2014-02-01,Swift,0.06,PYPL,2014,26.0
6027,2015-02-01,Swift,2.4899999999999998,PYPL,2015,11.0
6039,2016-02-01,Swift,3.2300000000000004,PYPL,2016,8.0
6051,2017-02-01,Swift,3.5000000000000004,PYPL,2017,9.0
6063,2018-02-01,Swift,3.05,PYPL,2018,9.0
6075,2019-02-01,Swift,2.46,PYPL,2019,9.0
6087,2020-02-01,Swift,2.29,PYPL,2020,9.0
6099,2021-02-01,Swift,2.0,PYPL,2021,9.0
6111,2022-02-01,Swift,2.0,PYPL,2022,9.0
6123,2023-02-01,Swift,2.26,PYPL,2023,9.0
6135,2024-02-01,Swift,2.75,PYPL,2024,9.0
6215,2011-02-01,TypeScript,0.01,PYPL,2011,24.0
6227,2012-02-01,TypeScript,0.03,PYPL,2012,25.0
6239,2013-02-01,TypeScript,0.01,PYPL,2013,27.0
6251,2014-02-01,TypeScript,0.09,PYPL,2014,25.0
6263,2015-02-01,TypeScript,0.12,PYPL,2015,26.0
6275,2016-02-01,TypeScript,0.33999999999999997,PYPL,2016,20.0
6287,2017-02-01,TypeScript,1.05,PYPL,2017,15.0
6299,2018-02-01,TypeScript,1.41,PYPL,2018,12.0
6311,2019-02-01,TypeScript,1.5599999999999998,PYPL,2019,11.0
6323,2020-02-01,TypeScript,1.77,PYPL,2020,10.0
6335,2021-02-01,TypeScript,1.71,PYPL,2021,10.0
6347,2022-02-01,TypeScript,1.9900000000000002,PYPL,2022,10.0
6359,2023-02-01,TypeScript,2.79,PYPL,2023,8.0
6371,2024-02-01,TypeScript,2.78,PYPL,2024,8.0
6451,2011-02-01,VBA,2.12,PYPL,2011,11.0
6463,2012-02-01,VBA,2.21,PYPL,2012,12.0
6475,2013-02-01,VBA,1.81,PYPL,2013,13.0
6487,2014-02-01,VBA,1.68,PYPL,2014,12.0
6499,2015-02-01,VBA,1.47,PYPL,2015,13.0
6511,2016-02-01,VBA,1.54,PYPL,2016,13.0
6523,2017-02-01,VBA,1.4000000000000001,PYPL,2017,13.0
6535,2018-02-01,VBA,1.41,PYPL,2018,12.0
6547,2019-02-01,VBA,1.3599999999999999,PYPL,2019,13.0
6559,2020-02-01,VBA,1.35,PYPL,2020,14.0
6571,2021-02-01,VBA,1.16,PYPL,2021,13.0
6583,2022-02-01,VBA,1.05,PYPL,2022,14.0
6595,2023-02-01,VBA,1.01,PYPL,2023,15.0
6607,2024-02-01,VBA,0.88,PYPL,2024,18.0
6687,2011-02-01,Visual Basic,4.92,PYPL,2011,7.0
6699,2012-02-01,Visual Basic,4.01,PYPL,2012,7.0
6711,2013-02-01,Visual Basic,3.62,PYPL,2013,8.0
6723,2014-02-01,Visual Basic,2.91,PYPL,2014,9.0
6735,2015-02-01,Visual Basic,2.45,PYPL,2015,12.0
6747,2016-02-01,Visual Basic,1.9,PYPL,2016,12.0
6759,2017-02-01,Visual Basic,1.58,PYPL,2017,12.0
6771,2018-02-01,Visual Basic,1.31,PYPL,2018,13.0
6783,2019-02-01,Visual Basic,1.09,PYPL,2019,15.0
6795,2020-02-01,Visual Basic,0.8999999999999999,PYPL,2020,18.0
6807,2021-02-01,Visual Basic,0.76,PYPL,2021,17.0
6819,2022-02-01,Visual Basic,0.61,PYPL,2022,20.0
6831,2023-02-01,Visual Basic,0.59,PYPL,2023,21.0
6843,2024-02-01,Visual Basic,0.51,PYPL,2024,23.0
110,2011-02-08,C,14.99,TIOBE,2011,3.0
123,2012-02-05,C,16.52,TIOBE,2012,3.0
135,2013-02-08,C,17.08,TIOBE,2013,3.0
148,2014-02-08,C,18.33,TIOBE,2014,2.0
160,2015-02-05,C,16.49,TIOBE,2015,2.0
172,2016-02-02,C,15.59,TIOBE,2016,3.0
184,2017-02-08,C,8.44,TIOBE,2017,3.0
196,2018-02-08,C,11.86,TIOBE,2018,3.0
208,2019-02-06,C,12.42,TIOBE,2019,3.0
220,2020-02-04,C,16.77,TIOBE,2020,3.0
232,2021-02-06,C,16.34,TIOBE,2021,2.0
244,2022-02-02,C,14.08,TIOBE,2022,3.0
256,2023-02-01,C,15.39,TIOBE,2023,3.0
268,2024-02-02,C,10.97,TIOBE,2024,3.0
379,2011-02-08,Java,18.48,TIOBE,2011,2.0
392,2012-02-05,Java,17.05,TIOBE,2012,2.0
404,2013-02-08,Java,18.39,TIOBE,2013,2.0
417,2014-02-08,Java,17.32,TIOBE,2014,3.0
429,2015-02-05,Java,15.34,TIOBE,2015,3.0
441,2016-02-02,Java,21.14,TIOBE,2016,2.0
453,2017-02-08,Java,16.68,TIOBE,2017,1.0
465,2018-02-08,Java,14.99,TIOBE,2018,2.0
477,2019-02-06,Java,15.88,TIOBE,2019,2.0
489,2020-02-04,Java,17.36,TIOBE,2020,2.0
501,2021-02-06,Java,11.29,TIOBE,2021,3.0
513,2022-02-02,Java,12.13,TIOBE,2022,4.0
525,2023-02-01,Java,13.21,TIOBE,2023,5.0
537,2024-02-02,Java,8.88,TIOBE,2024,5.0
648,2011-02-08,Python,7.04,TIOBE,2011,5.0
661,2012-02-05,Python,3.15,TIOBE,2012,8.0
673,2013-02-08,Python,4.95,TIOBE,2013,8.0
686,2014-02-08,Python,2.16,TIOBE,2014,8.0
698,2015-02-05,Python,2.88,TIOBE,2015,9.0
710,2016-02-02,Python,4.18,TIOBE,2016,6.0
722,2017-02-08,Python,4.04,TIOBE,2017,6.0
734,2018-02-08,Python,5.17,TIOBE,2018,5.0
746,2019-02-06,Python,7.57,TIOBE,2019,4.0
758,2020-02-04,Python,9.35,TIOBE,2020,4.0
770,2021-02-06,Python,10.86,TIOBE,2021,4.0
